Date,AAPL,AMZN,TSLA
1/3/11,10.153708,184.220001,5.324
1/4/11,10.206702,185.009995,5.334
1/5/11,10.290195,187.419998,5.366
1/6/11,10.281874,185.860001,5.576
1/7/11,10.355506,185.490005,5.648
1/10/11,10.55053,184.679993,5.69
1/11/11,10.525573,184.339996,5.392
1/12/11,10.611223,184.080002,5.392
1/13/11,10.650039,185.529999,5.244
1/14/11,10.736307,188.75,5.15
1/18/11,10.495072,191.25,5.128
1/19/11,10.439307,186.869995,4.806
1/20/11,10.249525,181.960007,4.524
1/21/11,10.065904,177.419998,4.608
1/24/11,10.396483,176.850006,4.898
1/25/11,10.518178,176.699997,4.936
1/26/11,10.593659,175.389999,4.95
1/27/11,10.573944,184.449997,4.984
1/28/11,10.354892,171.139999,4.802
1/31/11,10.454096,169.639999,4.82
2/1/11,10.630016,172.110001,4.782
2/2/11,10.608141,173.529999,4.788
2/3/11,10.581032,173.710007,4.726
2/4/11,10.675306,175.929993,4.692
2/7/11,10.841055,176.429993,4.614
2/8/11,10.943342,183.059998,4.898
2/9/11,11.034535,185.300003,4.642
2/10/11,10.923009,186.210007,4.644
2/11/11,10.994177,189.25,4.65
2/14/11,11.065962,190.419998,4.616
2/15/11,11.088144,189.029999,4.568
2/16/11,11.187657,186.619995,4.946
2/17/11,11.038851,187.759995,4.72
2/18/11,10.800391,186.5,4.636
2/22/11,10.432225,180.419998,4.374
2/23/11,10.555768,176.679993,4.366
2/24/11,10.563777,177.75,4.506
2/25/11,10.726447,177.240005,4.722
2/28/11,10.882033,173.289993,4.778
3/1/11,10.761879,169.440002,4.788
3/2/11,10.848451,172.020004,4.804
3/3/11,11.077671,172.789993,4.872
3/4/11,11.091225,171.669998,4.99
3/7/11,10.948271,169.080002,4.988
3/8/11,10.960596,166.889999,4.932
3/9/11,10.859233,169.050003,4.944
3/10/11,10.68054,166.139999,4.802
3/11/11,10.844445,168.070007,4.814
3/14/11,10.892817,166.729996,4.65
3/15/11,10.642338,165.080002,4.59
3/16/11,10.167266,164.699997,4.564
3/17/11,10.309907,160.970001,4.562
3/18/11,10.1876,161.820007,4.592
3/21/11,10.45348,164.520004,4.546
3/22/11,10.512018,162.600006,4.438
3/23/11,10.45009,165.320007,4.442
3/24/11,10.628169,171.100006,4.466
3/25/11,10.830583,170.979996,4.55
3/28/11,10.796691,169.350006,4.65
3/29/11,10.812714,174.619995,4.784
3/30/11,10.740929,179.419998,4.742
3/31/11,10.737231,180.130005,5.55
4/1/11,10.615538,180.130005,5.332
