Date,AAPL,AMZN,TSLA
1/3/11,445138400,5331400,6415000
1/4/11,309080800,5031800,5937000
1/5/11,255519600,3418800,7233500
1/6/11,300428800,3179700,10306000
1/7/11,311931200,5221700,11239500
1/10/11,448560000,3375900,6713500
1/11/11,444108000,2814200,8551000
1/12/11,302590400,2679100,4822000
1/13/11,296780400,3367000,3618000
1/14/11,308840000,3662800,5960000
1/18/11,1880998000,3896200,8108500
1/19/11,1135612800,3882400,11857500
1/20/11,764789200,5709900,11399500
1/21/11,754401200,6806200,6085000
1/24/11,574683200,5600300,8225500
1/25/11,546868000,4651000,6357500
1/26/11,506875600,3762200,5399500
1/27/11,285026000,14594400,4478500
1/28/11,592057200,19908200,5242000
1/31/11,377246800,6718100,4151500
2/1/11,426633200,5085900,3539000
2/2/11,258955200,4547500,2847500
2/3/11,393797600,3678900,2560000
2/4/11,321840400,4347800,2720000
2/7/11,485021600,5254700,4475500
2/8/11,381040800,7794900,17524500
2/9/11,482745200,8312700,13178000
2/10/11,928550000,5331400,4180500
2/11/11,367572800,4487900,3172500
2/14/11,310416400,4061300,6415500
2/15/11,284174800,3890900,4768500
2/16/11,481157600,4628200,20575500
2/17/11,530583200,3425500,13092000
2/18/11,816057200,4178600,11853500
2/22/11,872555600,5637100,10323000
2/23/11,671854400,5482000,8028000
2/24/11,499900800,4656500,5276500
2/25/11,380018800,4191400,6731500
2/28/11,403074000,6783200,5256000
3/1/11,456136800,5847100,5532000
3/2/11,602590800,5185700,3316500
3/3/11,500788400,4138200,3201000
3/4/11,453266800,4924300,7900500
3/7/11,546123200,5932900,10168000
3/8/11,356316800,4219000,6999500
3/9/11,453306000,7108900,4624000
3/10/11,507539200,5998400,5085000
3/11/11,471080400,4609900,4654000
3/14/11,435957200,4022000,5830000
3/15/11,721081200,4934500,6594000
3/16/11,1162011200,5208100,5848500
3/17/11,659422400,6471400,4613000
3/18/11,753214000,7442700,3439500
3/21/11,409402000,4055100,2058500
3/22/11,325922800,3611400,2914500
3/23/11,372996400,4721300,2114000
3/24/11,404712000,6283200,2311000
3/25/11,448910000,4293800,2840000
3/28/11,309355200,3400800,5290500
3/29/11,352900800,4884600,3777000
3/30/11,329406000,6859300,6116500
3/31/11,274019200,4826500,57589000
4/1/11,418661600,5684100,14324000
4/4/11,460084800,4186400,13046500
4/5/11,482731200,5569200,15904500
4/6/11,402539200,5430700,6441500
4/7/11,373447200,4564000,14051500
4/8/11,377535200,3726400,9732000
4/11/11,398946800,3297100,6847000
4/12/11,425639200,5334500,6787000
4/13/11,346220000,4216300,6057500
4/14/11,301800800,3588200,4917000
4/15/11,453605600,4272400,4717500
4/18/11,609898800,4616500,5169500
4/19/11,419378400,2646000,2743500
4/20/11,700666400,4067500,4186000
4/21/11,753810400,3348100,6930500
4/25/11,266546000,3438100,4004500
4/26/11,338800000,11200000,7000000
4/27/11,356213200,23623000,4984500
4/28/11,360959200,7300000,8000000
4/29/11,1006345200,6640900,3630000
5/2/11,442713600,9398100,3923000
5/3/11,313348000,6100000,4569500
5/4/11,389250400,6550000,5222500
5/5/11,335969200,4600000,6092500
5/6/11,280134400,4013900,4908500
5/9/11,204747200,5825400,4582000
5/10/11,282091600,5885900,7676500
5/11/11,336000000,4809000,4812500
5/12/11,322000000,4800000,3140000
5/13/11,326116000,4123700,3307500
5/16/11,449775200,9386400,3778500
5/17/11,452334400,7073300,6171000
5/18/11,334776400,4955800,3647500
5/19/11,261170000,3701200,13275500
5/20/11,337968400,3381000,4212500
5/23/11,383600000,4200000,4318000
5/24/11,321927200,2972700,3068500
5/25/11,294224000,4661300,23465500
5/26/11,222560800,4075200,16684500
5/27/11,203599200,2352600,8435500
5/31/11,417754400,3409000,16452500
6/1/11,554682800,3445200,7649500
6/2/11,338783200,3044900,4931500
6/3/11,313250000,4974500,31046000
6/6/11,461941200,3716000,11655500
6/7/11,529785200,4866500,6110500
6/8/11,333723600,3716600,8479500
6/9/11,275088800,4187300,8016000
6/10/11,433955200,3760400,7833000
6/13/11,329473200,3868900,8567000
6/14/11,334569200,3960300,7867000
6/15/11,399196000,6317700,6725000
6/16/11,510591200,6032100,9211000
6/17/11,615020000,6322200,8570000
6/20/11,640645600,2831700,7689000
6/21/11,493382400,4182600,7480000
6/22/11,390583200,3129700,7378000
6/23/11,559759200,4609600,5850000
6/24/11,439807200,3614500,18042500
6/27/11,339813600,6100700,9047000
6/28/11,294299600,3825300,4446000
6/29/11,352545200,4608900,7309000
6/30/11,322954800,4448100,4733500
7/1/11,435313200,4008700,4274500
7/5/11,355054000,3585200,4980000
7/6/11,444626000,2607600,4634500
7/7/11,399663600,3144900,6639500
7/8/11,489633200,3707900,6203000
7/11/11,442674400,4033700,4879000
7/12/11,451609200,3985700,5227000
7/13/11,391638800,4229900,5330000
7/14/11,430533600,3902500,5795000
7/15/11,484467200,4072600,3545000
7/18/11,572653200,2898100,4259500
7/19/11,819145600,4437200,5130500
7/20/11,941340400,3372900,15241500
7/21/11,526534400,4545300,5057500
7/22/11,516728800,3591700,2917500
7/25/11,589806000,3342800,3366500
7/26/11,476582400,9863600,3803000
7/27/11,659324400,12955600,4792500
7/28/11,594034000,5354900,4693500
7/29/11,632584400,5167700,4741000
8/1/11,612836000,5789300,5824500
8/2/11,639539600,6586700,7747000
8/3/11,732508000,8197100,8972500
8/4/11,871407600,6579500,15322500
8/5/11,1204590800,10024000,9822000
8/8/11,1143833600,10427500,13042500
8/9/11,1082583600,10491200,6667000
8/10/11,878656800,8757600,7821000
8/11/11,741969200,7401900,4182500
8/12/11,528976000,5620400,5045500
8/15/11,460544000,4785900,3693000
8/16/11,498750000,5205900,2688500
8/17/11,442061200,3991100,3218500
8/18/11,851435200,8275200,5283000
8/19/11,775888400,7244200,6876500
8/22/11,535315200,5313700,4930500
8/23/11,656835200,7351600,4345000
8/24/11,626267600,6248700,3421500
8/25/11,871346000,3760800,3399000
8/26/11,641477200,5310700,3809000
8/29/11,405269200,4511000,4017000
8/30/11,417922400,5915700,1831000
8/31/11,522586400,7405000,4119000
9/1/11,343725200,5275300,4240500
9/2/11,438939200,4232000,3849500
9/6/11,509698000,6216200,4049000
9/7/11,350576800,5295800,2296000
9/8/11,416158400,4397900,2528500
9/9/11,564813200,4574300,3346500
9/12/11,467832400,5342100,2833000
9/13/11,440560400,4835900,3632500
9/14/11,534724400,5881700,4154000
9/15/11,417818800,5608800,2813000
9/16/11,698513200,11753000,7085500
9/19/11,823860800,8223300,5787000
9/20/11,775754000,7385500,5902000
9/21/11,605976000,5881500,4938000
9/22/11,968480800,8254600,3879000
9/23/11,546277200,6468100,5782000
9/26/11,812876400,5794100,4674000
9/27/11,632497600,7837500,3372500
9/28/11,429637600,14436900,3616500
9/29/11,651086800,9378500,4648000
9/30/11,547640800,6550300,6680500
10/3/11,669099200,6624400,5116000
10/4/11,1233677200,8711600,6001500
10/5/11,786469600,6508200,6147500
10/6/11,812582400,6849300,8845500
10/7/11,535458000,6784300,6558000
10/10/11,442514800,5143100,4617500
10/11/11,605687600,5003700,2878500
10/12/11,622286000,6510800,5617000
10/13/11,426185200,4833500,5217500
10/14/11,573367200,5923700,7002500
10/17/11,686044800,4779000,3772500
10/18/11,881602400,4609700,4998500
10/19/11,1104059600,6715100,3964500
10/20/11,549270400,4524900,4998500
10/21/11,621244400,4572500,5713000
10/24/11,502138000,4975800,4703000
10/25/11,430427200,14012600,3272000
10/26/11,456304800,24134200,2552500
10/27/11,494664800,10774300,4347000
10/28/11,322842800,9880400,6320000
10/31/11,385501200,7343300,5670000
11/1/11,531790000,8511800,3176000
11/2/11,327350800,6122000,4376500
11/3/11,441386400,5315000,12548500
11/4/11,302229200,4065800,15164500
11/7/11,270275600,3860000,6331500
11/8/11,400442000,3914500,5839500
11/9/11,558684000,4680600,4768500
11/10/11,744752400,5044600,3736500
11/11/11,653786000,5163100,19341500
11/14/11,432905200,6522200,6628500
11/15/11,430810800,5739000,4455000
11/16/11,349210400,5509400,9166000
11/17/11,479900400,7983100,6746500
11/18/11,371938000,8437500,4514000
11/21/11,447980400,11321200,5158000
11/22/11,409021200,9915600,3663000
11/23/11,428271200,8011300,2259000
11/25/11,254760800,4972000,1198000
11/28/11,346413200,7207300,3406000
11/29/11,375855200,6575100,2955500
11/30/11,405938400,7717000,3801500
12/1/11,387181200,7327700,5151000
12/2/11,379055600,7526200,4014000
12/5/11,357210000,5922100,5800500
12/6/11,283598000,5202000,4759000
12/7/11,304746400,6427300,3371500
12/8/11,376356400,4361100,16529000
12/9/11,296993200,5158800,6197500
12/12/11,301067200,4343200,3793500
12/13/11,338928800,9297300,4970500
12/14/11,406887600,11614200,5819500
12/15/11,256200000,7259900,3501500
12/16/11,421478400,6664100,5148500
12/19/11,235530400,4533600,4935000
12/20/11,337215200,4600100,4216500
12/21/11,262948000,8066700,8527500
12/22/11,202358800,4694900,5047000
12/23/11,269399200,3496500,2957000
12/27/11,265076000,2950900,3887500
12/28/11,228662000,3659500,2876000
12/29/11,215978000,8209300,2441000
12/30/11,179662000,4279800,1699000
1/3/12,302220800,5110800,4640500
1/4/12,260022000,4205200,3150500
1/5/12,271269600,3809100,5027500
1/6/12,318292800,7008400,4931500
1/9/12,394024400,5056900,4485000
1/10/12,258196400,3985800,3359000
1/11/12,215084800,3102700,3361500
1/12/12,212587200,5385800,3646500
1/13/12,226021600,4753500,27502000
1/17/12,242897200,5644500,23258000
